"daysinOperation","P1","P3","P4","P11","P18","P21","P22","P29"
1751.0,4,4.0,4.0,5,0,2,2,3.0
845.0,2,4.0,5.0,3,0,1,1,1.0
1249.0,5,4.0,5.0,5,5,1,1,1.0
1528.0,3,4.0,4.0,3,4,1,2,3.0
1372.0,3,4.0,5.0,4,0,1,2,3.0
498.0,4,4.0,4.0,2,4,3,1,3.0
1131.0,4,5.0,4.0,2,4,1,2,2.0
1051.0,3,4.0,4.0,5,0,3,2,2.0
2659.0,9,6.0,4.0,1,0,3,2,7.5
5141.0,2,4.0,4.0,4,0,1,3,3.0
565.0,4,4.5,4.0,6,4,2,3,7.5
2512.0,3,4.0,4.0,4,0,1,2,3.0
6682.0,4,4.0,5.0,5,4,2,5,2.0
145.0,2,4.0,4.0,1,0,1,1,3.0
5834.0,4,4.0,4.0,2,5,1,2,2.0
4599.0,4,3.0,4.0,3,0,1,1,2.0
1316.0,1,4.0,4.0,2,0,1,1,3.0
99.0,12,6.0,6.0,10,0,15,3,2.0
1389.0,4,4.0,4.0,1,0,1,1,3.0
1673.0,3,5.0,3.0,5,5,1,2,3.0
2445.0,2,4.0,4.0,3,0,1,1,3.0
114.0,4,5.0,4.0,2,0,3,2,3.0
4868.0,3,4.0,3.0,1,0,1,1,3.0
177.0,9,4.0,6.0,8,0,1,3,7.5
700.0,4,6.0,3.0,2,0,3,1,3.0
1751.0,4,3.0,4.0,2,0,1,2,2.0
2513.0,2,4.0,3.0,2,3,1,1,1.0
4326.0,4,6.0,4.0,2,3,1,1,3.0
5173.0,3,4.0,4.0,2,0,1,1,3.0
660.0,2,4.0,3.0,1,0,1,1,3.0
474.0,12,4.0,3.0,1,0,1,2,3.0
474.0,3,4.0,4.0,4,0,2,1,3.0
2698.0,2,4.0,4.0,2,0,1,1,3.0
689.0,3,4.0,4.0,2,1,1,2,3.0
716.0,6,5.0,4.0,3,0,3,3,1.0
5173.0,5,4.0,4.0,2,0,1,1,3.0
1892.0,2,4.0,4.0,3,0,1,5,2.0
2698.0,12,4.0,4.0,6,0,1,1,3.0
2366.0,12,6.0,6.0,3,12,9,3,7.5
375.0,12,6.0,6.0,6,12,6,5,2.5
6370.0,2,4.0,3.0,5,4,5,3,1.0
1952.0,4,4.0,4.0,2,4,1,1,3.0
1771.0,2,4.0,3.0,1,3,2,2,3.0
2696.0,3,4.0,4.0,6,5,4,3,1.0
271.0,4,4.0,4.0,3,0,3,2,3.0
2394.0,4,5.0,4.0,3,2,5,3,1.0
1533.0,2,4.0,4.0,3,3,1,2,3.0
1029.0,12,4.5,6.0,10,0,9,1,5.0
6357.0,4,4.0,4.0,4,4,2,5,3.0
1549.0,4,4.0,3.0,3,4,2,5,3.0
4536.0,3,3.0,4.0,1,5,1,2,3.0
2962.0,5,4.0,4.0,4,4,2,4,2.0
201.0,2,4.0,4.0,4,0,1,2,1.0
746.0,2,6.0,4.0,4,4,3,3,7.5
2129.0,12,4.0,3.0,5,3,2,3,3.0
1446.0,3,4.0,4.0,4,0,1,2,3.0
595.0,1,0.0,7.5,5,9,15,1,3.0
1114.0,12,6.0,6.0,4,12,3,4,7.5
595.0,2,4.0,5.0,3,0,1,1,3.0
1327.0,12,6.0,6.0,10,12,2,2,5.0
1427.0,4,4.0,4.0,3,0,2,5,2.0
689.0,3,4.0,4.0,4,1,1,2,7.5
1754.0,6,6.0,6.0,10,12,3,2,7.5
2129.0,3,6.0,4.0,2,0,1,1,7.5
587.0,4,4.0,4.0,2,4,5,3,2.0
737.0,6,6.0,7.5,10,12,6,1,3.0
375.0,4,6.0,6.0,4,15,3,1,10.0
2514.0,4,2.0,4.0,2,0,2,3,3.0
6542.0,12,6.0,6.0,6,0,2,2,3.0
271.0,2,4.0,4.0,1,0,1,2,3.0
3234.0,4,4.0,4.0,2,1,1,2,3.0
455.0,2,3.0,5.0,4,4,1,1,3.0
5106.0,3,4.0,4.0,2,0,3,2,3.0
2649.0,2,6.0,7.5,2,4,3,1,3.0
1737.0,4,4.0,4.0,10,0,1,2,3.0
1835.0,1,4.0,4.0,2,1,1,1,2.0
914.0,3,4.0,5.0,4,3,5,4,2.0
1209.0,1,4.0,3.0,4,5,1,1,1.0
2256.0,2,4.0,4.0,2,0,3,2,3.0
606.0,2,5.0,4.0,1,0,1,1,3.0
7001.0,3,4.0,5.0,4,4,1,1,2.0
5992.0,6,6.0,6.0,2,0,3,2,7.5
2790.0,3,4.0,5.0,1,0,1,1,3.0
797.0,4,4.0,4.0,6,0,3,2,3.0
2352.0,4,5.0,5.0,2,0,3,5,2.0
6061.0,3,5.0,4.0,5,4,5,4,1.0
425.0,6,4.0,3.0,1,12,1,2,2.0
1142.0,4,4.0,4.0,3,0,2,3,3.0
239.0,3,4.0,4.0,2,0,1,2,1.0
2513.0,2,4.0,5.0,1,3,1,1,1.0
2685.0,1,0.0,5.0,3,0,2,1,3.0
3292.0,4,4.0,4.0,1,0,5,5,0.0
2486.0,5,4.0,6.0,4,0,6,1,7.5
471.0,3,4.0,5.0,3,0,1,5,1.0
698.0,6,6.0,4.0,3,0,9,4,7.5
134.0,3,4.0,3.0,2,0,2,3,3.0
5272.0,2,4.0,4.0,5,0,1,1,3.0
6061.0,3,4.0,4.0,2,4,2,2,3.0
1215.0,2,4.0,4.0,2,0,2,4,3.0
185.0,2,4.0,4.0,3,0,2,1,2.0
339.0,6,6.0,6.0,4,0,3,3,7.5
5106.0,2,4.0,4.0,5,0,1,1,3.0
4536.0,3,4.0,4.0,3,0,1,1,3.0
80.0,4,2.0,4.0,3,0,2,1,3.0
6651.0,4,5.0,4.0,3,0,1,2,2.0
2253.0,5,4.0,4.0,5,0,1,5,2.0
2717.0,4,4.0,5.0,1,3,1,5,2.0
547.0,4,2.0,5.0,3,0,1,2,2.0
1549.0,3,4.0,4.0,2,1,2,2,3.0
2388.0,2,4.0,5.0,3,0,2,3,3.0
1038.0,5,4.0,5.0,3,0,1,3,3.0
731.0,15,5.0,6.0,10,12,4,2,7.5
2129.0,12,6.0,6.0,6,9,3,3,7.5
771.0,2,4.0,4.0,3,0,1,1,3.0
1589.0,1,4.0,4.0,1,0,1,1,3.0
1640.0,5,4.0,5.0,4,4,1,5,2.0
1892.0,4,4.0,4.0,4,0,2,5,2.0
1660.0,4,5.0,4.0,2,0,3,4,1.0
746.0,2,4.0,4.0,2,0,1,3,2.0
1922.0,4,4.0,4.0,4,4,3,5,3.0
3635.0,2,4.0,4.0,1,4,2,3,3.0
339.0,2,4.0,4.0,5,0,3,5,0.0
5355.0,2,2.0,4.0,4,0,2,1,7.5
1633.0,4,4.0,5.0,1,0,5,5,0.0
700.0,12,6.0,5.0,8,0,6,3,3.0
424.0,2,4.0,4.0,2,0,1,1,3.0
407.0,5,3.0,5.0,4,0,1,4,3.0
4986.0,3,4.0,4.0,4,0,3,2,3.0
1922.0,3,4.0,4.0,5,3,3,2,3.0
345.0,4,4.0,5.0,1,0,1,1,3.0
2388.0,3,4.0,5.0,2,0,1,3,3.0
5145.0,3,4.0,4.0,2,3,1,1,3.0
2514.0,4,4.5,4.0,3,0,2,1,3.0
5186.0,2,5.0,4.0,1,0,1,1,3.0
5355.0,12,6.0,4.0,4,15,3,1,3.0
1771.0,12,6.0,3.0,6,3,2,2,3.0
5876.0,3,3.0,5.0,1,4,2,3,3.0
2464.0,2,4.0,4.0,3,0,1,1,3.0
1508.0,3,4.0,4.0,2,5,5,3,1.0
1887.0,3,5.0,3.0,2,0,2,1,3.0
206.0,2,4.0,4.0,4,0,1,1,3.0
417.0,2,4.0,4.0,5,0,4,1,3.0
5819.0,9,3.0,7.5,4,0,2,1,2.0
276.0,2,4.0,3.0,1,0,1,2,3.0
1305.0,12,4.0,4.0,3,4,1,4,3.0
5780.0,3,3.0,4.0,4,4,3,1,7.5
3292.0,3,4.0,4.0,1,0,2,4,3.0
275.0,2,4.0,3.0,2,0,1,2,3.0
5141.0,5,4.0,4.0,1,0,1,3,3.0
3893.0,5,4.0,4.0,10,12,3,2,7.5
2804.0,1,4.0,4.0,4,0,3,3,1.0
2464.0,2,4.0,4.0,3,0,2,1,3.0
4326.0,4,4.0,5.0,2,0,1,4,3.0
684.0,2,6.0,7.5,3,15,15,1,2.5
206.0,5,3.0,4.0,4,0,1,1,2.0
2603.0,3,4.0,4.0,2,0,2,2,3.0
583.0,3,4.0,5.0,5,0,1,1,2.0
2420.0,2,4.0,4.0,10,0,15,1,1.0
1632.0,3,4.0,4.0,5,0,3,2,2.0
6061.0,3,5.0,4.0,5,0,5,1,3.0
766.0,4,4.0,5.0,5,0,5,4,0.0
911.0,4,4.0,4.0,5,0,5,5,3.0
474.0,3,4.0,4.0,4,0,3,1,3.0
1596.0,4,4.0,4.0,4,4,2,3,3.0
6120.0,2,4.0,4.0,2,0,1,2,3.0
2464.0,3,4.0,4.0,3,0,1,1,3.0
587.0,4,3.0,7.5,4,0,4,1,1.0
732.0,9,6.0,7.5,10,0,15,1,7.5
932.0,4,3.0,5.0,3,0,1,5,2.0
1395.0,2,4.0,4.0,3,0,1,2,3.0
271.0,2,5.0,4.0,2,0,4,2,3.0
763.0,12,6.0,4.5,4,0,3,1,2.0
2331.0,9,6.0,7.5,10,0,15,1,2.5
764.0,4,4.0,5.0,3,0,5,3,2.0
1890.0,2,4.0,3.0,3,0,1,1,3.0
1163.0,5,4.0,4.0,1,0,1,3,2.0
2486.0,6,6.0,6.0,4,0,6,2,3.0
1395.0,2,4.0,4.0,3,0,1,1,3.0
405.0,2,3.0,5.0,3,0,1,1,3.0
1341.0,2,4.0,5.0,2,0,2,1,2.0
2263.0,6,6.0,6.0,10,0,3,1,7.5
2478.0,4,5.0,4.0,5,0,2,3,2.0
2723.0,3,4.0,4.0,4,0,4,3,1.0
444.0,4,4.0,6.0,3,4,1,5,3.0
6055.0,3,4.0,4.0,6,0,1,1,7.5
771.0,2,4.0,4.0,2,0,1,1,3.0
1589.0,12,4.0,4.0,1,0,3,1,5.0
2846.0,3,4.0,4.0,5,0,2,3,3.0
1325.0,1,5.0,4.0,4,0,2,1,3.0
232.0,6,4.0,5.0,5,0,5,5,0.0
1684.0,12,4.0,5.0,2,0,6,4,3.0
929.0,4,4.0,3.0,3,0,1,1,7.5
288.0,2,4.0,5.0,3,0,1,1,3.0
3388.0,4,4.0,5.0,4,0,4,5,2.0
1366.0,2,5.0,3.0,5,5,3,1,3.0
4907.0,4,5.0,4.0,3,0,1,2,3.0
1436.0,12,3.0,7.5,6,0,3,2,7.5
2804.0,2,4.0,4.0,10,0,3,2,3.0
638.0,4,4.0,3.0,3,3,1,2,3.0
145.0,3,4.0,4.0,1,0,2,1,3.0
6451.0,4,3.0,4.0,2,4,4,4,7.5
1453.0,4,4.0,4.0,2,4,1,3,2.0
834.0,3,4.0,4.0,1,0,1,4,2.0
5834.0,3,4.0,4.0,3,3,1,3,2.0
2603.0,5,4.0,5.0,5,5,15,5,2.5
1640.0,3,4.0,4.0,1,0,1,1,3.0
1793.0,5,4.0,4.0,1,4,2,4,3.0
6139.0,3,4.0,3.0,2,0,1,2,3.0
3450.0,4,4.0,4.0,5,0,2,4,3.0
485.0,2,3.0,3.0,1,0,1,1,3.0
471.0,2,4.0,5.0,2,4,2,2,3.0
2101.0,2,4.0,4.0,1,1,1,2,3.0
2551.0,3,4.0,4.0,1,0,2,2,3.0
595.0,1,4.0,5.0,3,0,1,1,3.0
2696.0,9,6.0,6.0,3,0,6,4,3.0
684.0,9,6.0,4.0,10,15,3,5,3.0
627.0,4,4.0,7.5,6,1,3,1,3.0
420.0,2,4.0,4.0,1,1,2,4,3.0
698.0,6,4.0,4.0,5,0,9,4,3.0
1135.0,4,5.0,4.0,6,4,2,1,1.0
185.0,2,6.0,6.0,3,0,2,1,3.0
1135.0,4,4.0,4.0,2,4,2,3,2.0
2790.0,2,4.0,5.0,1,0,1,1,3.0
7087.0,2,3.0,3.0,2,5,4,3,3.0
5495.0,4,2.0,4.0,4,0,3,1,2.0
5054.0,4,4.0,4.0,2,0,2,1,3.0
6451.0,1,5.0,4.0,5,0,4,4,1.0
5808.0,3,4.0,4.0,3,0,2,2,3.0
737.0,3,6.0,4.0,4,5,3,3,7.5
799.0,4,4.0,4.0,1,4,3,5,3.0
3388.0,2,4.0,4.0,2,0,1,1,1.0
4907.0,2,4.0,4.0,1,0,1,2,3.0
689.0,4,4.0,4.0,1,0,2,4,3.0
6451.0,4,5.0,6.0,10,12,9,5,7.5
1215.0,2,4.0,4.0,1,0,1,4,3.0
1121.0,2,4.0,4.0,2,0,1,1,2.0
112.0,3,3.0,3.0,1,0,1,1,3.0
2420.0,3,4.0,4.0,2,0,2,1,3.0
840.0,4,4.0,5.0,2,0,1,3,3.0
2552.0,4,4.0,4.0,3,0,1,2,3.0
471.0,2,4.0,5.0,2,4,1,3,3.0
1114.0,2,6.0,6.0,3,0,3,2,7.5
94.0,6,4.0,4.0,3,0,3,3,3.0
112.0,12,6.0,5.0,3,0,1,4,7.5
85.0,3,4.0,4.0,3,4,1,1,3.0
1933.0,3,4.0,3.0,5,3,1,1,2.0
2310.0,12,4.0,3.0,4,0,3,1,3.0
204.0,4,4.0,4.0,4,0,3,4,3.0
425.0,3,4.0,4.0,4,0,2,5,2.0
145.0,3,4.0,4.0,1,0,2,4,3.0
1141.0,2,4.0,4.0,1,0,1,2,3.0
1436.0,3,3.0,7.5,6,0,1,5,0.0
1243.0,4,4.0,5.0,5,0,2,5,1.0
177.0,9,4.5,7.5,4,0,3,1,7.5
3452.0,4,4.0,3.0,10,3,2,5,2.0
943.0,4,6.0,6.0,2,0,5,3,2.5
2514.0,4,4.0,4.0,3,0,1,1,3.0
1780.0,4,4.0,5.0,3,5,5,3,3.0
85.0,4,4.0,4.0,2,0,5,2,0.0
6370.0,2,4.0,4.0,5,4,5,1,1.0
2698.0,2,4.0,4.0,2,0,1,1,2.0
3696.0,4,4.0,4.0,5,4,5,2,2.0
7087.0,4,4.0,3.0,2,4,2,3,3.0
2010.0,3,4.0,3.0,3,0,4,2,2.0
1589.0,1,4.0,4.0,1,0,1,4,3.0
1673.0,2,4.0,3.0,2,0,2,2,3.0
485.0,3,5.0,3.0,1,0,1,1,3.0
332.0,4,4.0,4.0,1,0,1,5,1.0
732.0,3,4.0,3.0,10,0,6,1,7.5
2140.0,2,4.0,3.0,3,0,1,1,3.0
2429.0,9,4.0,4.0,10,15,1,1,2.5
6451.0,4,4.5,4.5,4,4,4,1,3.0
5173.0,2,4.0,4.0,2,0,1,1,3.0
1443.0,3,3.0,5.0,3,4,3,4,3.0
471.0,2,4.0,5.0,2,4,1,4,3.0
1389.0,4,4.0,4.0,1,0,1,1,3.0
288.0,4,4.0,5.0,3,0,5,5,3.0
5145.0,3,4.0,4.0,2,4,1,3,3.0
1381.0,4,5.0,3.0,2,0,2,3,2.0
4907.0,4,4.0,4.0,3,0,1,1,3.0
2804.0,5,4.0,4.0,4,0,1,5,1.0
239.0,4,4.0,4.0,4,0,3,4,1.0
1029.0,3,4.0,4.0,10,4,1,2,7.5
382.0,4,4.0,3.0,2,4,3,2,3.0
2696.0,3,6.0,6.0,6,0,6,4,5.0
668.0,2,4.0,3.0,5,0,3,5,2.0
1887.0,3,5.0,3.0,2,0,2,1,7.5
2675.0,4,4.0,4.0,4,0,2,4,2.0
1114.0,12,6.0,6.0,4,12,3,4,7.5
4599.0,1,4.0,4.0,2,0,2,1,3.0
1305.0,3,4.0,4.0,1,4,3,1,3.0
1325.0,1,5.0,4.0,3,3,2,1,3.0
2140.0,2,4.0,3.0,3,0,3,3,0.0
281.0,4,4.0,5.0,1,4,2,3,3.0
595.0,1,0.0,5.0,3,0,1,1,3.0
1325.0,1,5.0,4.0,3,0,1,1,2.0
1535.0,4,4.5,4.5,4,0,3,1,7.5
5046.0,5,4.0,4.0,1,0,3,4,3.0
834.0,4,4.0,3.0,1,0,1,3,1.0
1372.0,4,4.0,4.0,4,4,1,4,1.0
5173.0,2,6.0,4.0,2,0,3,1,3.0
7001.0,4,4.0,5.0,2,5,1,1,2.0
444.0,4,4.0,4.0,3,4,1,3,2.0
1121.0,2,4.0,4.0,3,0,1,3,2.0
1887.0,3,4.0,5.0,2,0,1,1,3.0
178.0,2,6.0,4.0,2,0,2,1,3.0
5876.0,3,5.0,4.0,4,5,4,3,1.0
1214.0,4,4.0,5.0,2,4,2,3,3.0
797.0,12,4.5,7.5,2,0,3,1,7.5
2411.0,1,4.0,4.0,5,0,4,5,3.0
120.0,3,4.0,3.0,10,0,3,2,3.0
5255.0,3,4.0,4.0,1,4,1,2,3.0
425.0,3,4.0,4.0,2,4,2,2,3.0
6651.0,5,5.0,4.0,3,0,2,2,5.0
155.0,4,4.0,4.0,3,0,4,5,1.0
1214.0,4,5.0,4.0,2,0,4,2,2.0
914.0,3,4.0,4.0,4,0,3,3,3.0
743.0,4,6.0,7.5,10,12,3,5,10.0
5054.0,4,4.0,4.0,4,0,2,3,3.0
178.0,4,3.0,6.0,10,0,2,2,2.0
309.0,4,4.0,5.0,2,0,1,2,3.0
3452.0,4,5.0,4.0,2,0,4,5,1.0
1632.0,4,3.0,5.0,2,0,5,3,3.0
145.0,5,4.0,4.0,4,0,1,3,1.0
2804.0,5,4.0,4.0,3,4,3,5,1.0
5106.0,4,4.0,4.0,3,0,3,3,3.0
4839.0,4,3.0,5.0,1,0,1,1,3.0
1640.0,4,4.0,3.0,2,0,1,3,2.0
2331.0,1,4.0,3.0,2,0,1,1,3.0
5815.0,2,4.0,4.0,1,0,1,1,3.0
207.0,9,3.0,6.0,6,0,3,1,7.5
6542.0,4,4.0,4.0,5,4,1,3,1.0
1589.0,3,5.0,4.0,1,0,1,3,3.0
911.0,4,4.0,5.0,5,0,3,5,3.0
1559.0,4,4.0,5.0,2,0,1,4,3.0
2512.0,3,4.0,4.0,2,4,2,3,2.0
595.0,1,4.0,5.0,3,0,1,1,3.0
1249.0,1,3.0,5.0,3,0,1,1,3.0
436.0,2,4.0,4.0,2,4,2,1,3.0
405.0,4,4.0,4.0,4,4,3,5,3.0
1894.0,4,2.0,4.0,4,5,1,1,3.0
5738.0,6,5.0,4.0,10,0,6,3,2.0
5738.0,6,6.0,6.0,1,0,6,2,3.0
442.0,4,6.0,6.0,4,3,1,1,3.0
3067.0,4,4.0,5.0,3,5,1,3,3.0
271.0,2,4.0,4.0,1,0,1,2,3.0
1598.0,2,5.0,3.0,1,0,1,2,3.0
248.0,5,4.0,4.0,2,0,1,2,3.0
764.0,2,4.0,4.0,1,0,4,2,1.0
2432.0,6,4.0,4.0,5,3,5,4,1.0
5141.0,1,5.0,4.0,3,3,3,1,3.0
2603.0,3,4.0,4.0,2,0,1,2,3.0
1453.0,4,3.0,5.0,3,0,1,2,3.0
1436.0,2,4.0,7.5,1,0,3,2,3.0
1660.0,4,3.0,5.0,1,4,4,3,3.0
436.0,2,4.0,4.0,4,4,3,1,3.0
5738.0,6,6.0,6.0,10,12,6,3,3.0
436.0,2,4.0,4.0,3,4,1,1,1.0
1316.0,1,4.0,4.0,4,0,1,1,3.0
1541.0,3,3.0,5.0,1,0,1,1,3.0
46.0,3,2.0,4.0,2,0,1,1,2.0
461.0,3,5.0,4.0,5,0,2,3,2.0
444.0,3,4.0,4.0,3,4,1,3,3.0
1214.0,4,4.0,5.0,1,4,2,3,3.0
177.0,2,5.0,4.0,2,0,3,1,3.0
819.0,2,4.0,3.0,4,0,1,2,3.0
345.0,2,4.0,4.0,4,4,2,2,3.0
845.0,5,4.0,5.0,5,0,3,1,1.0
1341.0,5,4.0,4.0,2,4,1,5,2.0
870.0,4,4.0,5.0,1,0,1,3,3.0
5355.0,2,2.0,4.0,3,0,1,1,3.0
5808.0,3,4.0,5.0,4,4,2,3,1.0
763.0,3,6.0,4.0,1,12,9,5,2.0
2310.0,2,4.0,3.0,5,0,5,5,0.0
5887.0,4,4.0,4.0,3,5,2,4,2.0
1215.0,4,4.0,4.0,1,1,1,1,2.0
2512.0,3,4.0,4.0,3,4,3,1,5.0
2284.0,5,4.0,5.0,5,4,4,5,0.0
2432.0,3,4.0,4.0,4,5,4,3,1.0
799.0,2,5.0,4.0,2,0,5,1,3.0
110.0,3,5.0,3.0,4,0,3,2,2.0
2685.0,4,4.0,5.0,4,0,5,5,5.0
7087.0,6,5.0,6.0,2,5,4,3,3.0
1249.0,6,3.0,5.0,5,4,1,1,3.0
276.0,3,3.0,5.0,2,0,2,3,3.0
1601.0,12,4.0,4.0,3,0,1,2,3.0
2649.0,6,6.0,7.5,4,0,3,2,7.5
1400.0,1,4.0,4.0,1,0,1,1,3.0
6120.0,4,4.0,4.0,5,4,2,1,3.0
764.0,4,4.0,4.0,5,0,4,4,1.0
5887.0,3,4.0,4.0,3,5,1,2,2.0
204.0,4,4.0,4.0,5,0,4,4,1.0
1341.0,4,4.0,4.0,4,3,3,3,3.0
638.0,3,4.0,3.0,3,0,1,2,2.0
2804.0,2,5.0,4.0,1,0,1,3,1.0
442.0,4,4.0,3.0,4,3,2,3,7.5
2657.0,4,6.0,3.0,2,0,1,1,3.0
698.0,6,5.0,7.5,4,0,1,1,7.5
1933.0,2,4.0,4.0,5,0,1,4,2.0
2649.0,5,6.0,4.0,4,12,3,3,1.0
1737.0,1,3.0,4.0,4,0,1,2,3.0
1632.0,4,4.0,5.0,2,0,1,4,3.0
5780.0,3,4.0,3.0,4,0,3,1,7.5
914.0,3,4.0,4.0,4,0,3,1,3.0
2552.0,2,4.0,4.0,3,3,1,2,3.0
1601.0,12,6.0,6.0,4,15,1,4,7.5
2486.0,3,4.0,4.0,4,0,3,2,7.5
5186.0,3,4.0,3.0,2,0,1,1,2.0
162.0,12,6.0,4.5,6,0,15,4,7.5
1922.0,5,4.0,4.0,5,0,3,5,0.0
112.0,3,6.0,4.0,5,0,2,2,3.0
1882.0,6,6.0,4.0,10,1,1,2,7.5
6451.0,4,4.0,4.0,3,4,2,4,2.0
442.0,4,4.0,4.0,4,0,1,3,3.0
1163.0,2,4.0,3.0,1,0,1,2,2.0
641.0,5,4.0,5.0,5,0,1,3,0.0
3092.0,9,5.0,7.5,3,4,3,3,3.0
819.0,3,5.0,4.0,4,0,3,2,3.0
1660.0,2,3.0,5.0,1,4,1,3,3.0
1222.0,2,6.0,4.0,2,0,1,1,3.0
1214.0,4,4.0,7.5,1,4,2,3,3.0
1215.0,4,6.0,4.0,3,0,9,4,7.5
1247.0,3,4.0,4.0,1,0,1,4,2.0
1775.0,2,4.0,3.0,4,4,2,1,3.0
1054.0,4,4.0,4.0,1,3,3,2,3.0
641.0,1,4.0,5.0,5,4,2,1,3.0
1209.0,3,4.0,4.0,4,4,1,5,3.0
797.0,12,4.0,4.0,1,0,1,1,7.5
1279.0,3,4.0,3.0,3,3,1,2,2.0
110.0,2,4.0,3.0,4,0,1,2,3.0
1533.0,3,4.0,4.0,1,4,1,2,3.0
3067.0,4,5.0,5.0,3,4,5,3,3.0
332.0,2,4.0,4.0,1,0,1,1,3.0
990.0,3,5.0,4.0,3,4,1,3,2.0
120.0,4,5.0,5.0,1,4,2,5,3.0
957.0,4,5.0,3.0,2,4,2,5,3.0
185.0,2,5.0,4.0,3,0,2,1,3.0
1305.0,2,4.0,4.0,3,4,1,3,3.0
1436.0,12,2.0,5.0,3,0,1,2,7.5
6357.0,4,4.0,4.0,4,4,3,5,3.0
595.0,1,4.0,4.0,3,0,1,1,3.0
7001.0,3,4.0,5.0,5,4,3,1,2.0
1241.0,3,4.0,4.0,2,0,1,3,3.0
201.0,2,4.0,4.0,4,0,1,2,3.0
660.0,9,6.0,6.0,1,0,1,4,3.0
3452.0,4,5.0,3.0,2,3,4,5,2.0
3343.0,4,4.0,4.0,3,0,1,1,3.0
1131.0,4,5.0,4.0,2,4,1,4,1.0
425.0,3,3.0,5.0,4,4,2,1,3.0
5186.0,3,5.0,4.0,1,0,1,1,3.0
5887.0,4,4.0,4.0,3,5,3,4,2.0
